position,player_number,name,status,stat1,stat1_val,stat2,stat2_val,stat3,stat3_val,stat4,stat4_val,team
FS,32.0,"Green, T.J.",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
FS,27.0,"Guy, Winston",ACT,TCKL,6,SCK,0,FF,0,INT,--,IND
DB,38.0,"Hightower, Lee",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
WR,13.0,"Hilton, T.Y.",ACT,REC,69,YDS,1124,AVG,16.3,TDS,5,IND
TE,47.0,"Igwenagu, Emil",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
ILB,56.0,"Irving, Nate",ACT,TCKL,14,SCK,1,FF,1,INT,--,IND
ILB,52.0,"Jackson, D'Qwell",ACT,TCKL,150,SCK,3,FF,1,INT,1,IND
LB,53.0,"Jackson, Edwin",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
DE,97.0,"Jones, Arthur",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
DE,94.0,"Kerr, Zach",ACT,TCKL,29,SCK,0,FF,0,INT,--,IND
DE,90.0,"Langford, Kendall",ACT,TCKL,38,SCK,7,FF,0,INT,--,IND
WR,8.0,"Leak, Marcus",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
QB,12.0,"Luck, Andrew",ACT,TDS,15,INT,12,YDS,1881,RTG,74.9,IND
DT,68.0,"Lumpkin, Ricky",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
OLB,92.0,"Maggitt, Curt",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
OLB,98.0,"Mathis, Robert",ACT,TCKL,20,SCK,7,FF,1,INT,--,IND
P,1.0,"McAfee, Pat",ACT,PUNTS,85,AVG,47.7,LNG,63,IN 20,28,IND
DB,42.0,"McClure, Stefan",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
TE,89.0,"McFarland, Mike",RES,REC,--,YDS,--,AVG,--,TDS,--,IND
DT,99.0,"McGill, T.Y.",ACT,TCKL,11,SCK,3,FF,0,INT,--,IND
WR,2.0,"McKay, Mekale",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
ILB,57.0,"McNary, Josh",ACT,TCKL,14,SCK,0,FF,0,INT,--,IND
DB,40.0,"Milton, Chris",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
CB,43.0,"Mitchel, Tevin",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
WR,10.0,"Moncrief, Donte",ACT,REC,64,YDS,733,AVG,11.5,TDS,6,IND
LB,51.0,"Moore, Sio",ACT,TCKL,13,SCK,0,FF,0,INT,--,IND
QB,7.0,"Morris, Stephen",ACT,TDS,0,INT,0,YDS,0,RTG,0,IND
ILB,44.0,"Morrison, Antonio",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
LB,95.0,"Okine, Earl",ACT,TCKL,5,SCK,0,FF,0,INT,--,IND
NT,54.0,"Parry, David",ACT,TCKL,31,SCK,1,FF,0,INT,--,IND
RB,35.0,"Price, Chase",ACT,CAR,--,YDS,--,AVG,--,TDS,--,IND
DT,64.0,"Quarles, Kelcy",ACT,TCKL,0,SCK,--,FF,--,INT,--,IND
TE,49.0,"Reuland, Konrad",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
DT,91.0,"Ridgeway, Hassan",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
DB,25.0,"Robinson, Patrick",ACT,TCKL,49,SCK,0,FF,1,INT,1,IND
WR,3.0,"Rogers, Chester",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
DB,35.0,"Rose, Winston",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
ILB,47.0,"Sarao, Anthony",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
DE,65.0,"Simmons, Delvon",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
CB,30.0,"Smith, D'Joun",ACT,TCKL,1,SCK,0,FF,0,INT,--,IND
WR,5.0,"Smith, Tevaun",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
FS,41.0,"Southward, Dezmen",ACT,TCKL,1,SCK,0,FF,0,INT,--,IND
WR,14.0,"Stangby, Joshua",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
TE,86.0,"Swoope, Erik",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
LB,48.0,"Sylvestre, Junior",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
LB,59.0,"Thompson, Ron",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
RB,28.0,"Todman, Jordan",ACT,CAR,4,YDS,22,AVG,5.5,TDS,0,IND
QB,16.0,"Tolzien, Scott",ACT,TDS,0,INT,0,YDS,4,RTG,83.3,IND
RB,33.0,"Turbin, Robert",ACT,CAR,50,YDS,199,AVG,4,TDS,1,IND
K,4.0,"Vinatieri, Adam",ACT,FGA,27,FGM,25,PCT,92.6,LNG,55,IND
OLB,93.0,"Walden, Erik",ACT,TCKL,42,SCK,3,FF,1,INT,--,IND
DB,37.0,"White, Darius",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
CB,46.0,"Williams, Frankie",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
RB,40.0,"Williams, Trey",ACT,CAR,2,YDS,12,AVG,6,TDS,0,IND
DB,36.0,"Williamson, Andrew",RES,TCKL,--,SCK,--,FF,--,INT,--,IND
QB,9.0,"Allen, Brandon",ACT,TDS,--,INT,--,YDS,--,RTG,--,JAX
DT,93.0,"Alualu, Tyson",ACT,TCKL,26,SCK,2,FF,0,INT,--,JAX
